ID,Category,Page/Component,Position,Priority,Width,Height,Orientation,Aspect Ratio,Prompt English,Prompt Vietnamese,Context/Description,Style Type,Mood,Colors,Format,Alt Text,File Name,Notes
coop-marketplace-htx-quang-nam,cooperatives,src/pages/coop-marketplace/page.tsx,Marketplace - HTX Quảng Nam,HIGH,800,500,landscape,8:5,"Cinnamon and star anise plantation, Quang Nam Vietnam, traditional spice cultivation, hillside terraces, mature trees, harvesting area, rural cooperative farming, natural landscape, sustainable forestry","Đồn điền quế và hồi, Quảng Nam Việt Nam, canh tác gia vị truyền thống, ruộng bậc thang sườn đồi, cây trưởng thành","HTX Dược Liệu Quảng Nam - Chuyên Quế, Hồi, 600 ha, 1450 thành viên",photography,"traditional, natural, productive","green, brown, amber",webp,"HTX Dược Liệu Quảng Nam",coop-marketplace-htx-quang-nam.webp,
farmer-consumer-product-sam,products,src/pages/farmer-consumer/page.tsx,Product - Sâm Consumer,HIGH,400,400,square,1:1,"Fresh ginseng root premium quality, natural organic, simple white background, product photography, high quality","Củ sâm tươi chất lượng cao, tự nhiên hữu cơ, nền trắng đơn giản","Sâm Ngọc Linh củ tươi - Giá thị trường 500k/kg, giá xã viên 350k/kg",photography,"premium, natural, clean","white, beige, brown",webp,"Sâm Ngọc Linh củ tươi",farmer-consumer-product-sam.webp,
farmer-consumer-product-tra,products,src/pages/farmer-consumer/page.tsx,Product - Trà Cà Gai Leo,MEDIUM,400,400,square,1:1,"Herbal tea bags premium packaging, natural organic, simple clean background, product photography, professional","Túi trà thảo dược đóng gói cao cấp, tự nhiên hữu cơ, nền sạch đơn giản","Trà Cà Gai Leo túi lọc - Hộp 20 túi, giá xã viên 140k",photography,"premium, clean, natural","white, green, brown",webp,"Trà Cà Gai Leo túi lọc",farmer-consumer-product-tra.webp,
farmer-consumer-product-cao,products,src/pages/farmer-consumer/page.tsx,Product - Cao Đương Quy,MEDIUM,400,400,square,1:1,"Angelica extract bottle, herbal medicine, natural organic, simple white background, product photography, high quality","Chai cao đương quy, thuốc thảo dược, tự nhiên hữu cơ, nền trắng","Cao Đương Quy nguyên chất - Chai 500ml, giá xã viên 560k",photography,"natural, clean, professional","white, brown, amber",webp,"Cao Đương Quy nguyên chất",farmer-consumer-product-cao.webp,
farmer-investor-project-sam,dashboards,src/pages/farmer-investor/page.tsx,Investment Project - Sâm,MEDIUM,400,300,landscape,4:3,"Ginseng farm plantation, mountain Vietnam, natural organic farming, simple clean background, high quality","Nông trại sâm, núi Việt Nam, canh tác hữu cơ tự nhiên","Dự án Sâm Ngọc Linh - Lô B2, HTX Dược Liệu Kon Tum, đầu tư 50 triệu, lợi nhuận 12%",photography,"productive, natural","green, brown",webp,"Dự án Sâm Ngọc Linh",farmer-investor-project-sam.webp,
farmer-investor-project-nursery,dashboards,src/pages/farmer-investor/page.tsx,Investment Project - Nursery,MEDIUM,400,300,landscape,4:3,"Modern greenhouse nursery, high tech agriculture, Vietnam, clean organized, simple background, professional","Nhà kính vườn ươm hiện đại, nông nghiệp công nghệ cao Việt Nam","Vườn ươm công nghệ cao - HTX Nông Nghiệp Sạch Đà Lạt, đầu tư 30 triệu",photography,"modern, organized","green, white, blue",webp,"Vườn ươm công nghệ cao",farmer-investor-project-nursery.webp,
my-farm-citrus,dashboards,src/pages/my-farm/page.tsx,Farm Asset - Citrus,MEDIUM,800,500,landscape,8:5,"Beautiful Vietnamese citrus orchard with blooming flowers, healthy green trees, mountain landscape background, peaceful farming scene, natural sunlight, professional photography","Vườn quýt Việt Nam đẹp với hoa nở, cây xanh khỏe mạnh, nền cảnh quan núi","Vườn Quýt #VQ247 - Cây ăn quả, đầu tư 500k, giá trị hiện tại 725k, lợi nhuận +45%",photography,"beautiful, blooming, peaceful","green, white (flowers), blue (sky)",webp,"Vườn Quýt",my-farm-citrus.webp,
my-farm-chicken,dashboards,src/pages/my-farm/page.tsx,Farm Asset - Chicken,MEDIUM,800,500,landscape,8:5,"Free-range chickens in Vietnamese mountain farm, natural outdoor setting, healthy birds, green grass, traditional farming, authentic rural scene photography","Gà thả vườn trong nông trại núi Việt Nam, môi trường ngoài trời tự nhiên, gà khỏe mạnh","Đàn Gà Ri #GR089 - Chăn nuôi, đầu tư 300k, giá trị hiện tại 380k, lợi nhuận +27%",photography,"natural, authentic, healthy","green, brown, white",webp,"Đàn Gà Ri",my-farm-chicken.webp,
admin-gis-map,dashboards,src/pages/admin-gis/page.tsx,GIS Map Background,MEDIUM,800,500,landscape,8:5,"Aerial view of forest plantation with different sections, satellite imagery style, topographic map, green forest canopy, agricultural land divisions, natural landscape, showing organized forest management","Góc nhìn từ trên không của đồn điền rừng với các khu vực khác nhau, phong cách ảnh vệ tinh, bản đồ địa hình","Bản đồ GIS Rừng - Hiển thị các lô rừng, độ che phủ, mật độ cây",satellite/photography,"organized, mapped, professional","green, brown, gray",webp,"Bản đồ GIS Rừng","Sẽ có overlay, opacity 60%"
coop-story-1,cooperatives,src/data/cooperatives.ts,Story Image - HTX Măng Ri 1,MEDIUM,800,600,landscape,4:3,"Vietnamese cooperative farmers working together, herbal garden, teamwork, sustainable agriculture, collaborative farming, showing unity and progress","Nông dân hợp tác xã Việt Nam làm việc cùng nhau, vườn dược liệu, làm việc nhóm, nông nghiệp bền vững","Story: Hành trình từ Rừng đến Bàn ăn - HTX Măng Ri được thành lập năm 2018, 245 ha, 187 thành viên",photography,"collaborative, united, progressive","green, brown, blue",webp,"Nông dân HTX làm việc cùng nhau",coop-story-1.webp,
coop-story-2,cooperatives,src/data/cooperatives.ts,Story Image - HTX Măng Ri 2,MEDIUM,800,600,landscape,4:3,"Vietnamese ginseng harvesting, traditional method, sustainable farming, eco friendly, authentic harvesting process","Thu hoạch sâm Việt Nam, phương pháp truyền thống, canh tác bền vững","Thu hoạch sâm theo phương pháp truyền thống, bền vững",photography,"traditional, authentic, sustainable","green, brown, earth tones",webp,"Thu hoạch sâm truyền thống",coop-story-2.webp,
coop-story-tech-1,cooperatives,src/data/cooperatives.ts,Story Image - HTX Tây Nguyên IoT,MEDIUM,800,600,landscape,4:3,"IoT sensors Vietnamese farm, smart agriculture technology, modern farming, digital agriculture, sensors monitoring soil and weather","Cảm biến IoT nông trại Việt Nam, công nghệ nông nghiệp thông minh, canh tác hiện đại","HTX Tây Nguyên - Ứng dụng IoT và blockchain, 245 thành viên, 320 ha",photography,"modern, technological, smart","green, blue, gray",webp,"IoT sensors trong nông trại",coop-story-tech-1.webp,
coop-story-tech-2,cooperatives,src/data/cooperatives.ts,Story Image - HTX Tây Nguyên Blockchain,MEDIUM,800,600,landscape,4:3,"Blockchain traceability, Vietnamese herbal medicine supply chain, transparency, QR code scanning, digital traceability system","Truy xuất nguồn gốc blockchain, chuỗi cung ứng dược liệu Việt Nam, minh bạch, quét QR code","Blockchain traceability cho dược liệu - Minh bạch từ vùng trồng đến người tiêu dùng",illustration,"transparent, digital, modern","blue, green, cyan",webp,"Truy xuất nguồn gốc blockchain",coop-story-tech-2.webp,
tourism-tour-tech,tourism,src/data/cooperatives.ts,Tourism - Tour Tech,MEDIUM,600,400,landscape,3:2,"Smart agriculture IoT sensors Vietnamese farm, technology modern farming, digital agriculture, visitors learning about smart farming","Cảm biến IoT nông nghiệp thông minh nông trại Việt Nam, công nghệ canh tác hiện đại","Tour Công nghệ Nông nghiệp 4.0 - 4 giờ, tham quan hệ thống IoT, blockchain traceability",photography,"educational, modern, technological","green, blue, gray",webp,"Tour Công nghệ Nông nghiệp 4.0",tourism-tour-tech.webp,
tourism-homestay-tech,tourism,src/data/cooperatives.ts,Tourism - Homestay Tech,MEDIUM,600,400,landscape,3:2,"Modern eco lodge Vietnamese highland, sustainable architecture, mountain view, technology integrated, smart home features, comfortable accommodation","Eco-lodge hiện đại vùng cao Việt Nam, kiến trúc bền vững, view núi, tích hợp công nghệ","Eco-Lodge Công nghệ - 1 đêm, 1.2 triệu, tích hợp công nghệ IoT",photography,"modern, comfortable, sustainable","brown, green, blue",webp,"Eco-Lodge Công nghệ",tourism-homestay-tech.webp,
tourism-workshop,tourism,src/data/cooperatives.ts,Tourism - Workshop,MEDIUM,600,400,landscape,3:2,"Herbal medicine processing workshop, Vietnamese traditional medicine, modern facility, people learning to make tea, extract, essential oil from fresh herbs","Workshop chế biến dược liệu, y học cổ truyền Việt Nam, cơ sở hiện đại, người học làm trà, cao, tinh dầu từ dược liệu tươi","Workshop Chế biến Dược liệu - 3 giờ, tham gia workshop, học cách làm trà, cao, tinh dầu",photography,"educational, hands-on, traditional","brown, green, amber",webp,"Workshop Chế biến Dược liệu",tourism-workshop.webp,

